,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_Provided,Min_Salary,Max_Salary,Avg_Salary,Company_txt,Job_State,Age,job_simp,seniority,num_comp,Min_Salary_hr,Max_Salary_hr
21,Staff Applied Scientist,Employer Provided Salary:$147K - $213K,Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1,0,0,147,213,180.0,Indeed,Remote,16.0,na,na,0,147,213
22,Senior Data Scientist - Delivery Insights,Employer Provided Salary:$123K - $179K,Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004.0,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1,0,0,123,179,151.0,Indeed,Remote,16.0,data scientist,senior,0,123,179
23,"Staff Data Scientist, Partnerships",$74K - $166K (Glassdoor est.),Data Science,3.6,"LegalZoom
3.6","Atlanta, GA",-1,1001 to 5000 Employees,2001.0,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,74,166,120.0,LegalZoom,GA,19.0,data scientist,na,0,74,166
24,Machine Learning Engineer,$74K - $166K (Glassdoor est.),Data Science,4.0,"EDWARD JONES
4.0","Saint Louis, MO",-1,10000+ Employees,1922.0,Company - Private,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),-1,0,0,74,166,120.0,EDWARD JONES,MO,98.0,mle,na,0,74,166
25,Mathematical Statistician,$74K - $166K (Glassdoor est.),Data Science,-1.0,National Security Agency,"Fort Meade, MD",-1,Unknown,-1.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,0,0,74,166,120.0,National Security Agency,MD,-1.0,na,na,0,74,166
26,"Data Scientist, Distribution Strategy",$74K - $166K (Glassdoor est.),Data Science,-1.0,Dow Jones,"New York, NY",-1,5001 to 10000 Employees,1882.0,Subsidiary or Business Segment,News Outlet,Media,$500 million to $1 billion (USD),-1,0,0,74,166,120.0,Dow Jones,NY,138.0,data scientist,na,0,74,166
27,Data Scientist I - 637,$74K - $166K (Glassdoor est.),Data Science,-1.0,"O'Neil Global Advisors, Inc.","Austin, TX",-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,74,166,120.0,"O'Neil Global Advisors, Inc.",TX,-1.0,data scientist,na,0,74,166
28,"2022473 Data Scientist $215,000.00",$74K - $166K (Glassdoor est.),Data Science,5.0,"B4CORP
5.0","Chantilly, VA",-1,51 to 200 Employees,-1.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,74,166,120.0,B4CORP,VA,-1.0,data scientist,na,0,74,166
29,Data Scientist (People Products),$74K - $166K (Glassdoor est.),Data Science,-1.0,The World's Largest Social Network,"Seattle, WA",-1,1 to 50 Employees,2012.0,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,0,74,166,120.0,The World's Largest Social Network,WA,8.0,data scientist,na,0,74,166
30,Snr Machine Learning Scientist,$74K - $166K (Glassdoor est.),Data Science,-1.0,Engtal,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,74,166,120.0,Engtal,Remote,-1.0,mle,na,0,74,166
31,Principal Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.0,"Brooksource
4.0",Remote,-1,501 to 1000 Employees,2000.0,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,0,0,74,166,120.0,Brooksource,Remote,20.0,data scientist,senior,0,74,166
32,Clinical Studies Data Scientist,$74K - $166K (Glassdoor est.),Data Science,3.9,"Tailored Management
3.9",Remote,-1,51 to 200 Employees,2002.0,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1,0,0,74,166,120.0,Tailored Management,Remote,18.0,data scientist,na,0,74,166
33,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,-1.0,Engtal,Remote,-1,-1,-1.0,-1,-1,-1,-1,-1,0,0,74,166,120.0,Engtal,Remote,-1.0,data scientist,na,0,74,166
