,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
32,Data Scientist I - 637,$74K - $166K (Glassdoor est.),Data Science,-1,"O'Neil Global Advisors, Inc.","Austin, TX",-1,-1,-1,-1,-1,-1,-1,-1
33,"2022473 Data Scientist $215,000.00",$74K - $166K (Glassdoor est.),Data Science,5.0,"B4CORP
5.0","Chantilly, VA",-1,51 to 200 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1
34,Data Scientist (People Products),$74K - $166K (Glassdoor est.),Data Science,-1,The World's Largest Social Network,"Seattle, WA",-1,1 to 50 Employees,2012,Private Practice / Firm,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
35,Snr Machine Learning Scientist,$74K - $166K (Glassdoor est.),Data Science,-1,Engtal,Remote,-1,-1,-1,-1,-1,-1,-1,-1
36,Principal Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.0,"Brooksource
4.0",Remote,-1,501 to 1000 Employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1
37,Clinical Studies Data Scientist,$74K - $166K (Glassdoor est.),Data Science,3.9,"Tailored Management
3.9",Remote,-1,51 to 200 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),-1
38,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,-1,Engtal,Remote,-1,-1,-1,-1,-1,-1,-1,-1
39,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,3.9,"Brightwing
3.9",Remote,-1,51 to 200 Employees,1973,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1
40,Data Scientist - Relocation Available,$74K - $166K (Glassdoor est.),Data Science,-1,Masis Professional Group,"Bellevue, WA",-1,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
41,Senior Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.5,"Moldable Business Associates
4.5",Remote,-1,1 to 50 Employees,-1,Self-employed,-1,-1,Unknown / Non-Applicable,-1
42,Data Scientist - Full Remote,$74K - $166K (Glassdoor est.),Data Science,3.9,"Vaco
3.9",Remote,-1,501 to 1000 Employees,2002,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD),-1
43,Sr. Data Scientist - Data Analytics,$74K - $166K (Glassdoor est.),Data Science,5.0,"Lucas James Talent Partners
5.0",Remote,-1,1 to 50 Employees,2018,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
44,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.1,"MAKE Corporation
4.1",Remote,-1,51 to 200 Employees,-1,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD),-1
45,"data scientist (multiple openings) - Seattle, WA",$74K - $166K (Glassdoor est.),Data Science,3.8,"Starbucks
3.8","Seattle, WA",-1,10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD),-1
46,Junior Data Scientist Apprentice,$74K - $166K (Glassdoor est.),Data Science,4.0,"IBM
4.0","San Jose, CA",-1,10000+ Employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),-1
47,Junior Data Scientist (NYC or Remote),$74K - $166K (Glassdoor est.),Data Science,-1,ViacomCBS,"New York, NY",-1,10000+ Employees,2019,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),-1
48,"Data Scientist, Game Analytics & Strategy",$74K - $166K (Glassdoor est.),Data Science,3.8,"the NBA
3.8","New York, NY",-1,1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable,-1
49,"Data Scientist, Spotify Advertising",$74K - $166K (Glassdoor est.),Data Science,4.2,"Spotify
4.2","New York, NY",-1,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
50,"Lead Data Scientist, Forecasting",$74K - $166K (Glassdoor est.),Data Science,3.9,"Chick-fil-A, Inc.
3.9","Atlanta, GA",-1,5001 to 10000 Employees,1946,Company - Private,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$5 to $10 billion (USD),-1
51,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.3,"Pinterest
4.3","Seattle, WA",-1,1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD),-1
52,Machine Learning Scientist,$74K - $166K (Glassdoor est.),Data Science,3.9,"Glassdoor
3.9","Seattle, WA",-1,501 to 1000 Employees,2007,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
53,Data Scientist I (100% Remote Work Available),$74K - $166K (Glassdoor est.),Data Science,3.6,"USAA
3.6","San Antonio, TX",-1,10000+ Employees,1922,Company - Private,Insurance Carriers,Insurance,$25 to $50 million (USD),-1
54,"Senior Data Scientist, Foundations",$74K - $166K (Glassdoor est.),Data Science,-1,Tinder,Remote,-1,201 to 500 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1
55,Data Scientist,$74K - $166K (Glassdoor est.),Data Science,4.1,"PayPal
4.1","Bellevue, WA",-1,10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),-1
56,Statistician,$90K - $115K (Employer est.),Data Science,4.1,"Certified Technical Experts, Inc.
4.1","Atlanta, GA",-1,51 to 200 Employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),-1
57,Sr. Data Scientist,$90K - $115K (Employer est.),Data Science,3.7,"McKesson
3.7",United States,-1,,,Company - Public,,Health Care,,-1
58,"Sr Data Analyst, AMERICAS",$90K - $115K (Employer est.),Data Science,-1,Smart AdServer,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1
59,Data Scientist,$90K - $115K (Employer est.),Data Science,3.4,"Praescient Analytics
3.4","Washington, DC",-1,51 to 200 Employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1
60,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1,AREAL.ai,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1
61,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1,Adlumin Inc.,Remote,-1,-1,-1,-1,-1,-1,-1,-1
62,Clinical Data Scientist,$90K - $115K (Employer est.),Data Science,-1,"Vivante Health, Inc.",Remote,-1,-1,-1,-1,-1,-1,-1,-1
63,Data Scientist,$90K - $115K (Employer est.),Data Science,4.2,"Davidson Technologies, Inc.
4.2","Huntsville, AL",-1,201 to 500 Employees,1996,Company - Private,Transportation Equipment Manufacturing,Manufacturing,$25 to $50 million (USD),-1
64,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,4.9,"Sense
4.9","Cambridge, MA",-1,1 to 50 Employees,2013,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1
65,Data Scientist,$90K - $115K (Employer est.),Data Science,-1,Opanga Networks,"Seattle, WA",-1,-1,-1,-1,-1,-1,-1,-1
66,Data Scientist,$90K - $115K (Employer est.),Data Science,-1,Community Center for Education Results,"Seattle, WA",-1,-1,-1,-1,-1,-1,-1,-1
67,Mathematical Statistician,$90K - $115K (Employer est.),Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
68,Mathematician,$90K - $115K (Employer est.),Data Science,-1,National Security Agency,"Fort Meade, MD",-1,Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1
69,Machine Learning Engineer,$90K - $115K (Employer est.),Data Science,-1,Strategic Employment Partners,Remote,-1,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1
70,Data Scientist,$90K - $115K (Employer est.),Data Science,4.0,"Trane Technologies
4.0","Minneapolis, MN",-1,10000+ Employees,2020,Company - Public,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
71,"Director, Data Science- SMB Labs",$90K - $115K (Employer est.),Data Science,4.3,"Indeed
4.3",Remote,-1,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),-1
